"var.name" "var.type"
"108" "How.often.do.you.use.the.Internet.for.the.following.activities....Connecting.with.mentors..Often." "integer"
"109" "How.often.do.you.use.the.Internet.for.the.following.activities....Connecting.with.mentors..Somewhat.often." "integer"
"110" "How.often.do.you.use.the.Internet.for.the.following.activities....Connecting.with.mentors..Not.very.often." "integer"
"111" "How.often.do.you.use.the.Internet.for.the.following.activities....Connecting.with.mentors..Never." "integer"
"112" "How.often.do.you.use.the.Internet.for.the.following.activities....Connecting.with.mentors..I.don.t.know." "integer"
"113" "How.often.do.you.use.the.Internet.for.the.following.activities....Connecting.with.mentors...." "integer"
"114" "How.often.do.you.use.the.Internet.for.the.following.activities....Training.for.my.job..Very.often." "integer"
"115" "How.often.do.you.use.the.Internet.for.the.following.activities....Training.for.my.job..Often." "integer"
"116" "How.often.do.you.use.the.Internet.for.the.following.activities....Training.for.my.job..Somewhat.often." "integer"
"117" "How.often.do.you.use.the.Internet.for.the.following.activities....Training.for.my.job..Not.very.often." "integer"
"118" "How.often.do.you.use.the.Internet.for.the.following.activities....Training.for.my.job..Never." "integer"
"119" "How.often.do.you.use.the.Internet.for.the.following.activities....Training.for.my.job..I.don.t.know." "integer"
"120" "How.often.do.you.use.the.Internet.for.the.following.activities....Training.for.my.job...." "integer"
"121" "How.often.do.you.use.the.Internet.for.the.following.activities....To.track.my.performance.and.or.hours.worked..Very.often." "integer"
"122" "How.often.do.you.use.the.Internet.for.the.following.activities....To.track.my.performance.and.or.hours.worked..Often." "integer"
"123" "How.often.do.you.use.the.Internet.for.the.following.activities....To.track.my.performance.and.or.hours.worked..Somewhat.often." "integer"
"124" "How.often.do.you.use.the.Internet.for.the.following.activities....To.track.my.performance.and.or.hours.worked..Not.very.often." "integer"
"125" "How.often.do.you.use.the.Internet.for.the.following.activities....To.track.my.performance.and.or.hours.worked..Never." "integer"
"126" "How.often.do.you.use.the.Internet.for.the.following.activities....To.track.my.performance.and.or.hours.worked..I.don.t.know." "integer"
"127" "How.often.do.you.use.the.Internet.for.the.following.activities....To.track.my.performance.and.or.hours.worked...." "integer"
"128" "How.often.do.you.use.the.Internet.for.the.following.activities....To.communicate.with.customers.or.clients..Very.often." "integer"
"129" "How.often.do.you.use.the.Internet.for.the.following.activities....To.communicate.with.customers.or.clients..Often." "integer"
"130" "How.often.do.you.use.the.Internet.for.the.following.activities....To.communicate.with.customers.or.clients..Somewhat.often." "integer"
"131" "How.often.do.you.use.the.Internet.for.the.following.activities....To.communicate.with.customers.or.clients..Not.very.often." "integer"
"132" "How.often.do.you.use.the.Internet.for.the.following.activities....To.communicate.with.customers.or.clients..Never." "integer"
"133" "How.often.do.you.use.the.Internet.for.the.following.activities....To.communicate.with.customers.or.clients..I.don.t.know." "integer"
"134" "How.often.do.you.use.the.Internet.for.the.following.activities....To.communicate.with.customers.or.clients...." "integer"
"135" "How.often.do.you.use.the.Internet.for.the.following.activities....To.plan.events.for.work..Very.often." "integer"
"136" "How.often.do.you.use.the.Internet.for.the.following.activities....To.plan.events.for.work..Often." "integer"
"137" "How.often.do.you.use.the.Internet.for.the.following.activities....To.plan.events.for.work..Somewhat.often." "integer"
"138" "How.often.do.you.use.the.Internet.for.the.following.activities....To.plan.events.for.work..Not.very.often." "integer"
"139" "How.often.do.you.use.the.Internet.for.the.following.activities....To.plan.events.for.work..Never." "integer"
"140" "How.often.do.you.use.the.Internet.for.the.following.activities....To.plan.events.for.work..I.don.t.know." "integer"
"141" "How.often.do.you.use.the.Internet.for.the.following.activities....To.plan.events.for.work...." "integer"
"142" "How.often.do.you.use.the.Internet.for.the.following.activities....Accessing.professional.development.resources..Very.often." "integer"
"143" "How.often.do.you.use.the.Internet.for.the.following.activities....Accessing.professional.development.resources..Often." "integer"
"144" "How.often.do.you.use.the.Internet.for.the.following.activities....Accessing.professional.development.resources..Somewhat.often." "integer"
"145" "How.often.do.you.use.the.Internet.for.the.following.activities....Accessing.professional.development.resources..Not.very.often." "integer"
"146" "How.often.do.you.use.the.Internet.for.the.following.activities....Accessing.professional.development.resources..Never." "integer"
"147" "How.often.do.you.use.the.Internet.for.the.following.activities....Accessing.professional.development.resources..I.don.t.know." "integer"
"148" "How.often.do.you.use.the.Internet.for.the.following.activities....Accessing.professional.development.resources...." "integer"
"149" "How.often.do.you.use.the.Internet.for.the.following.activities....Learning.for.professional.development..Very.often." "integer"
"150" "How.often.do.you.use.the.Internet.for.the.following.activities....Learning.for.professional.development..Often." "integer"
"151" "How.often.do.you.use.the.Internet.for.the.following.activities....Learning.for.professional.development..Somewhat.often." "integer"
"152" "How.often.do.you.use.the.Internet.for.the.following.activities....Learning.for.professional.development..Not.very.often." "integer"
"153" "How.often.do.you.use.the.Internet.for.the.following.activities....Learning.for.professional.development..Never." "integer"
"154" "How.often.do.you.use.the.Internet.for.the.following.activities....Learning.for.professional.development..I.don.t.know." "integer"
"155" "How.often.do.you.use.the.Internet.for.the.following.activities....Learning.for.professional.development...." "integer"
"156" "How.often.do.you.use.the.Internet.for.the.following.activities....To.apply.for.jobs..Very.often." "integer"
"157" "How.often.do.you.use.the.Internet.for.the.following.activities....To.apply.for.jobs..Often." "integer"
"158" "How.often.do.you.use.the.Internet.for.the.following.activities....To.apply.for.jobs..Somewhat.often." "integer"
"159" "How.often.do.you.use.the.Internet.for.the.following.activities....To.apply.for.jobs..Not.very.often." "integer"
"160" "How.often.do.you.use.the.Internet.for.the.following.activities....To.apply.for.jobs..Never." "integer"
"161" "How.often.do.you.use.the.Internet.for.the.following.activities....To.apply.for.jobs..I.don.t.know." "integer"
"162" "How.often.do.you.use.the.Internet.for.the.following.activities....To.apply.for.jobs...." "integer"
"163" "What.other.ways.you.use.the.Internet.for.work." "character"
"164" "What.digital.services.or.tools.do.you.use.for.work." "character"
"165" "What.is.your.favourite.digital.service.or.tool.for....Connecting.with.managers..supervisors..or.bosses" "character"
"166" "What.is.your.favourite.digital.service.or.tool.for....Connecting.with.coworkers" "character"
"167" "What.is.your.favourite.digital.service.or.tool.for....Connecting.with.clients.or.customers" "character"
"168" "What.is.your.favourite.digital.service.or.tool.for....Professional.development" "character"
"169" "What.is.your.favourite.digital.service.or.tool.for....Work.related.learning" "character"
"170" "Researcher.notes.for.the..Technology..the.internet..and.digital.services.tools.for.work..section" "character"
"171" "In.what.ways.do.you.use.devices.to.generate.an.income." "character"
"172" "In.what.ways.do.you.use.the.Internet.to.generate.an.income." "character"
"173" "If.you.use.the.Internet.to.generate.an.income..how.did.you.first.learn.about.the.opportunity." "character"
"174" "In.what.ways.do.you.see.your.friends.and.or.peers.using.the.Internet.to.generate.an.income." "character"
"175" "In.what.ways.do.you.use.digital.services.tools.to.generate.an.income....Have.you.ever.used.social.networks.like.Facebook.or.Twitter.to.generate.an.income..If.yes..how." "character"
"176" "In.what.ways.do.you.use.digital.services.tools.to.generate.an.income....Have.you.ever.used.SMS..text.messaging..to.generate.an.income..If.yes..how." "character"
"177" "In.what.ways.do.you.use.digital.services.tools.to.generate.an.income....Have.you.ever.used.a.social.photo.service..like.Instagram.or.Snapchat..to.generate.an.income..If.yes..how." "character"
"178" "In.what.ways.do.you.use.digital.services.tools.to.generate.an.income....Have.you.ever.used.a.social.video.service..like.YouTube..Vimeo..Vine..Mobli...Keek..etc...to.generate.an.income..If.yes..how." "character"
"179" "In.what.ways.do.you.use.digital.services.tools.to.generate.an.income....Have.you.ever.used.a.communication.services..like.WhatsApp..Viber..Kik..BB.Messenger..Skype..Google.Hangouts..etc...to.generate.an.income..If.yes..how." "character"
"180" "In.what.ways.do.you.use.digital.services.tools.to.generate.an.income....Have.you.ever.used.email.to.generate.an.income..If.yes..how." "character"
"181" "In.what.ways.do.you.use.digital.services.tools.to.generate.an.income....Have.you.ever.used.crowd.funding.to.generate.an.income..If.yes..how." "character"
"182" "In.what.ways.do.you.use.digital.services.tools.to.generate.an.income....Have.you.ever.sold.goods.or.services.online..If.yes..how.and.why." "character"
"183" "In.what.ways.do.you.see.your.friends.and.or.peers.using.the.digital.services.tools.to.generate.an.income." "character"
"184" "What.is.the.best.way.you.know.of.to.generate.an.income.using.technology..the.Internet..or.digital.services.tools." "character"
"185" "If.you.or.someone.you.know.does.online.work.to.generate.an.income..how.did.you.they.connect.to.that.opportunity." "character"
